"세종특별자치시",233,2038,154,367,154,238,367,0,0,0,36,1070,7,1541,103,29,3284,967,30,3131,950,2,1424,28,28,3251,922,6,2072,120,5,1603,75,1,4117,45,4,5485,232,1,1121,6,37,970,364,229,2203,128,251,126,125,158,2,4739,93,47,1266,15,1510,228,32,3229,1038,39,2905,1133,7,1413,103,32,3250,1030,8,1614,133,8,1603,125,0,1897,8,5,6614,303,1,1119,16,47,776,368,233,3023,131,711,122,240,293,9,4739,418,71,1808,26,1436,369,45,3181,1439,66,2616,1715,22,1411,317,43,3245,1398,5,1731,93,3,1603,52,2,1895,41,1,7046,104,1,988,7,29,1362,393
"경기도",7560,125294,2929,10739,2761,230,6352,168,2611,4387,3082,72784,2162,2317,50102,920,2466,22682,2686,2415,64866,1836,2357,43284,850,2540,21582,396,1999,7918,326,2092,6818,70,1569,1100,493,6545,32282,173,832,1442,881,913,8047,6881,101944,2793,9747,2586,168,4343,207,2611,5404,2551,59154,1779,2295,40819,773,2373,18335,2178,2381,51850,1498,2333,34946,680,2487,16904,374,1955,7304,281,2092,5873,93,1540,1431,345,5942,20525,172,832,1431,1020,1087,11087,7146,110748,2997,14385,2766,304,8398,231,2594,5987,3051,71176,2217,2278,50507,834,2478,20669,2603,2381,61978,1820,2317,42162,783,2530,19816,448,2052,9198,397,2100,8345,51,1676,853,276,5921,16357,79,835,658,742,1101,8172
"강원도",4905,74982,3516,37164,2557,226,5791,959,3270,31373,1040,29784,1005,2895,29098,35,1984,686,868,3116,27033,853,3135,26749,14,1987,284,172,1599,2751,152,1548,2349,20,1981,402,102,6014,6112,8,675,57,239,780,1865,4507,74075,3064,31045,2251,203,4578,812,3258,26467,1120,36019,1077,3269,35219,42,1900,800,1004,3408,34213,978,3449,33732,26,1850,481,115,1564,1806,99,1496,1487,16,1982,319,76,5864,4455,12,675,79,236,1049,2476,5040,88062,3440,41124,2401,309,7430,1039,3244,33694,1094,35147,1060,3255,34492,34,1932,655,968,3432,33210,953,3456,32942,14,1857,268,126,1536,1937,107,1453,1550,19,1985,387,131,6484,8480,62,675,420,314,922,2891
"충청북도",4825,43184,2885,8522,2859,276,7892,26,2403,630,949,19933,744,1631,12131,205,3811,7802,849,2081,17667,666,1601,10658,183,3821,7009,99,2281,2266,78,1887,1473,21,3721,793,155,4353,6729,39,1410,553,797,935,7447,4669,37378,2824,5461,2792,167,4669,32,2507,792,931,20591,776,1939,15049,155,3586,5542,816,2374,19358,678,2082,14108,138,3807,5250,115,1069,1233,99,953,941,17,1752,292,68,4790,3275,67,1410,940,780,912,7111,4643,46242,2893,8550,2850,262,7456,43,2531,1094,862,20063,683,1979,13516,179,3664,6547,754,2505,18899,593,2134,12650,162,3864,6249,107,1087,1164,90,961,866,17,1752,298,106,9094,9673,91,1356,1237,691,972,6719
"충청남도",10665,171754,3264,12028,3120,252,7852,144,2894,4176,2273,53690,1844,1994,36769,429,3943,16921,577,1991,11490,529,1940,10266,48,2560,1224,1696,2488,42200,1315,2016,26503,381,4117,15697,944,5500,51922,765,1121,8576,3418,1332,45538,9693,139428,3472,9318,3318,159,5268,154,2632,4050,1927,37800,1460,1936,28272,467,2040,9528,421,2054,8647,365,1895,6910,56,3087,1737,1506,1936,29153,1095,1950,21362,411,1897,7791,693,6620,45885,795,1119,8893,2806,1337,37532,11523,193400,3890,14555,3750,293,10993,140,2541,3562,2176,42114,1582,1906,30157,594,2014,11957,541,1988,10749,475,1853,8798,66,2967,1951,1635,1918,31365,1107,1929,21359,528,1895,10006,923,7046,65042,1097,1121,12293,3437,1728,59397
"전라북도",9877,258860,5004,22696,4837,262,12655,167,5997,10041,1101,31934,792,2897,22942,309,2912,8992,915,3100,28358,682,3071,20935,233,3187,7423,186,1922,3576,110,1822,2007,76,2068,1569,2373,7957,188857,367,809,2967,1032,1203,12406,8200,156475,4508,18047,4320,175,7573,188,5565,10474,1174,32076,981,2677,26276,192,3015,5800,1027,2850,29271,869,2784,24200,158,3217,5071,147,1909,2805,112,1850,2076,35,2098,729,1142,7896,90175,399,870,3473,976,1301,12704,8087,193756,4333,14144,4286,274,11761,47,5069,2383,996,27701,813,2691,21881,183,3175,5820,892,2888,25761,720,2802,20175,172,3249,5586,105,1856,1940,93,1832,1706,11,2059,234,1687,8314,140266,312,927,2890,759,1154,8755
"전라남도",24411,845535,5301,25192,4914,232,11413,387,3558,13779,4750,163375,4642,3481,161613,107,1642,1762,3741,3642,136264,3713,3663,135994,29,945,270,1008,2689,27111,930,2756,25619,79,1894,1492,8467,6873,581958,90,1488,1337,5803,1270,73674,20848,702653,5195,28933,4682,212,9941,513,3703,18992,4429,148432,4337,3377,146474,92,2131,1958,3272,3627,118687,3262,3626,118285,10,4131,402,1157,2571,29745,1075,2623,28189,82,1894,1556,5743,7883,452737,155,1362,2114,5326,1322,70437,22465,864152,5800,40547,5067,261,13248,733,3723,27299,5786,194265,5707,3355,191458,79,3540,2807,4450,3582,159436,4400,3572,157183,50,4500,2253,1336,2607,34829,1307,2623,34275,29,1894,554,6775,8547,579053,186,1364,2538,3917,1219,47749
"경상북도",18613,409819,7370,24319,7212,260,18786,158,3505,5533,1101,28148,934,2409,22499,167,3377,5649,795,2810,22348,658,2652,17454,137,3571,4894,306,1895,5800,276,1829,5045,30,2496,755,3309,7471,247231,835,1129,9422,5998,1679,100699,17757,336673,8009,20621,7906,214,16955,103,3552,3666,1059,28093,883,2498,22062,176,3433,6031,854,2776,23712,710,2614,18558,144,3571,5154,204,2143,4381,173,2024,3504,31,2798,877,2365,8098,191509,1208,1112,13430,5117,1623,83020,19301,455561,8902,29884,8751,282,24699,151,3436,5185,1477,37537,1253,2368,29662,224,3510,7875,1063,2739,29132,870,2554,22213,194,3571,6919,414,2032,8405,383,1945,7449,31,3121,956,3159,9739,307652,1303,1120,14588,4461,1477,65901
"경상남도",16155,573473,4248,104975,2237,239,5345,2011,4955,99630,954,16520,608,2019,12277,346,1225,4243,765,1704,13045,451,2047,9232,314,1213,3813,189,1838,3475,157,1939,3045,32,1341,430,4330,8170,353752,25,1215,301,6598,1484,97925,14195,471373,4378,113149,2186,206,4501,2191,4958,108648,654,11739,473,2019,9555,180,1212,2184,519,1783,9244,358,2045,7326,160,1196,1918,135,1849,2495,115,1937,2229,20,1341,266,2825,8783,248082,73,1215,892,6266,1556,97511,14319,517043,3844,84910,2218,253,5604,1626,4876,79306,644,11719,493,2013,9922,151,1192,1797,456,1798,8191,320,2061,6603,135,1175,1588,188,1877,3528,172,1925,3319,16,1341,209,4023,8423,338881,76,1215,924,5732,1406,80609
"제주도",4070,137283,74,175,67,180,121,7,769,54,733,19369,732,2644,19345,2,1340,24,301,3509,10570,301,3515,10564,1,945,6,432,2036,8799,431,2037,8781,1,1589,18,1130,7875,89017,16,1488,231,2116,1346,28491,3870,122070,89,412,82,198,163,7,3703,249,693,17711,692,2559,17697,1,1329,14,247,3523,8709,247,3523,8709,0,0,0,445,2021,9002,444,2023,8988,1,1327,14,955,7594,72489,12,1362,167,2122,1475,31291,3146,115245,101,342,97,226,221,3,3723,121,791,20485,790,2592,20470,1,1376,15,284,3558,10105,284,3558,10105,0,0,0,507,2048,10380,506,2049,10365,1,1338,15,906,8265,74856,11,1364,147,1337,1452,19415
