ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),ÀÏ°­¼ö·®(mm),Æò±Õ »ó´ë½Àµµ(%),ÇÕ°è ÀÏ»ç·®(MJ/m2)
105,°­¸ª,2019-01-01,-.7,,26.3,6.88
105,°­¸ª,2019-01-02,0,,21,11.48
105,°­¸ª,2019-01-03,1.2,,19.8,11.3
105,°­¸ª,2019-01-04,3.8,,24.8,9.13
105,°­¸ª,2019-01-05,1.9,,37.3,10.31
105,°­¸ª,2019-01-06,1.9,,38.5,9.39
105,°­¸ª,2019-01-07,2.6,,22.1,10.14
105,°­¸ª,2019-01-08,.9,,21,11.35
105,°­¸ª,2019-01-09,.1,,20.4,9.71
105,°­¸ª,2019-01-10,4.4,,18.9,9.87
105,°­¸ª,2019-01-11,3.1,,49.1,10.16
105,°­¸ª,2019-01-12,3.3,2,73.3,2.07
105,°­¸ª,2019-01-13,3.7,,58.1,10.67
105,°­¸ª,2019-01-14,5.5,,37.6,9.26
105,°­¸ª,2019-01-15,2.6,,38.1,7.97
105,°­¸ª,2019-01-16,-1.6,,28.1,9.6
105,°­¸ª,2019-01-17,2.7,,32.5,12.06
105,°­¸ª,2019-01-18,4.4,,24,11.44
105,°­¸ª,2019-01-19,5.7,,37.5,6.9
105,°­¸ª,2019-01-20,3.7,,30.8,11.88
105,°­¸ª,2019-01-21,2.1,,35,12.17
105,°­¸ª,2019-01-22,4.7,,34.4,12.39
105,°­¸ª,2019-01-23,5.5,,39.3,11.89
105,°­¸ª,2019-01-24,2.7,,35.8,12.12
105,°­¸ª,2019-01-25,1.3,1.5,41.8,12.54
105,°­¸ª,2019-01-26,0,.1,36.4,13.45
105,°­¸ª,2019-01-27,3.8,,24.1,12.06
105,°­¸ª,2019-01-28,4.1,,30.8,12.41
105,°­¸ª,2019-01-29,3.7,,29,12.49
105,°­¸ª,2019-01-30,8.3,,18,11.17
105,°­¸ª,2019-01-31,2.4,13,56.4,1.77
105,°­¸ª,2019-02-01,.3,,30.3,12.03
105,°­¸ª,2019-02-02,4.9,,36.1,11.68
105,°­¸ª,2019-02-03,4.9,9,81,1.78
105,°­¸ª,2019-02-04,4.3,,24.1,14.26
105,°­¸ª,2019-02-05,6.3,,20.4,13.7
105,°­¸ª,2019-02-06,6.7,,49.8,12.75
105,°­¸ª,2019-02-07,1.9,2.5,63.4,6.79
105,°­¸ª,2019-02-08,-1.5,,39.9,12.52
105,°­¸ª,2019-02-09,-.5,,35.4,14.23
105,°­¸ª,2019-02-10,-.6,,46.6,10.35
105,°­¸ª,2019-02-11,1.3,,20.4,15.99
105,°­¸ª,2019-02-12,1.4,,31.4,14.14
105,°­¸ª,2019-02-13,.2,,33.6,14.51
105,°­¸ª,2019-02-14,-.2,,63.3,8.41
105,°­¸ª,2019-02-15,3,,49.8,10.84
105,°­¸ª,2019-02-16,.9,,38.6,15.38
105,°­¸ª,2019-02-17,2.7,,29,17.12
105,°­¸ª,2019-02-18,5.7,,30.4,13.83
105,°­¸ª,2019-02-19,3.9,6,73.1,2.76
105,°­¸ª,2019-02-20,4.3,,47.9,16.79
105,°­¸ª,2019-02-21,5.3,,51.6,16.6
105,°­¸ª,2019-02-22,6.1,,51.3,15.48
105,°­¸ª,2019-02-23,4.9,.2,56,11.41
105,°­¸ª,2019-02-24,9.5,,34.4,18.03
105,°­¸ª,2019-02-25,7.9,,36.5,14.78
105,°­¸ª,2019-02-26,6,,47.8,17.52
105,°­¸ª,2019-02-27,8.3,,60,12.74
105,°­¸ª,2019-02-28,7.1,,51.6,15.24
105,°­¸ª,2019-03-01,7.3,,43.8,17.35
105,°­¸ª,2019-03-02,8.5,,44.1,16.39
105,°­¸ª,2019-03-03,9.7,,48.3,15.79
105,°­¸ª,2019-03-04,8.9,,62.9,14.64
105,°­¸ª,2019-03-05,12.2,,36.8,14.05
105,°­¸ª,2019-03-06,9.5,6,56,8.46
105,°­¸ª,2019-03-07,5.8,5,70.8,7.97
105,°­¸ª,2019-03-08,9.6,,41.1,19.4
105,°­¸ª,2019-03-09,13.2,,10.4,14.36
105,°­¸ª,2019-03-10,9.1,.5,50.6,5.5
105,°­¸ª,2019-03-11,8.3,,50.3,12.35
105,°­¸ª,2019-03-12,6.6,.5,48,15.93
105,°­¸ª,2019-03-13,4.6,,23.3,21.29
105,°­¸ª,2019-03-14,6.3,,27.3,20.8
105,°­¸ª,2019-03-15,5.5,9.5,62.4,13.55
105,°­¸ª,2019-03-16,5.9,.6,57.6,20.51
105,°­¸ª,2019-03-17,7.4,,43.9,19.2
105,°­¸ª,2019-03-18,12.3,,26.3,18.87
105,°­¸ª,2019-03-19,17,,25.8,18.87
105,°­¸ª,2019-03-20,16.9,9.5,44.9,8.82
105,°­¸ª,2019-03-21,11.1,4.5,62.3,10.56
105,°­¸ª,2019-03-22,5.4,,55.5,13.42
105,°­¸ª,2019-03-23,5,1,40.6,19.07
105,°­¸ª,2019-03-24,6.9,,32,23.97
105,°­¸ª,2019-03-25,11.4,,39.6,21.01
105,°­¸ª,2019-03-26,12.6,,34.9,23.37
105,°­¸ª,2019-03-27,12.8,.5,57.6,17.98
105,°­¸ª,2019-03-28,5.7,10,84.5,3.18
105,°­¸ª,2019-03-29,7.3,,69,13.41
105,°­¸ª,2019-03-30,7.7,2,58.6,21.39
105,°­¸ª,2019-03-31,5.7,,47.5,20.32
105,°­¸ª,2019-04-01,5.6,,32.4,18.87
105,°­¸ª,2019-04-02,7.2,,35.8,20.15
105,°­¸ª,2019-04-03,10,,29.4,24.92
105,°­¸ª,2019-04-04,14.2,,18.8,25.47
105,°­¸ª,2019-04-05,12.8,,37.1,22.51
105,°­¸ª,2019-04-06,11.6,2.5,39.8,10.38
105,°­¸ª,2019-04-07,11.4,,52.8,23.16
105,°­¸ª,2019-04-08,9.7,,38.5,25.85
105,°­¸ª,2019-04-09,8.2,11.5,50.5,11.72
105,°­¸ª,2019-04-10,4.8,22,89.6,5.72
105,°­¸ª,2019-04-11,8.5,,64,16.85
105,°­¸ª,2019-04-12,12.2,,47.3,24.88
105,°­¸ª,2019-04-13,15.5,,26,26.18
105,°­¸ª,2019-04-14,11.3,,43.8,10.7
105,°­¸ª,2019-04-15,14.2,,27.1,25.66
105,°­¸ª,2019-04-16,19.7,,14.5,26.11
105,°­¸ª,2019-04-17,20.3,,16.9,27.29
105,°­¸ª,2019-04-18,18.1,,44.1,15.54
105,°­¸ª,2019-04-19,10.8,,51.4,14.08
105,°­¸ª,2019-04-20,14.2,,57.4,26.49
105,°­¸ª,2019-04-21,15.3,,61.3,16.61
105,°­¸ª,2019-04-22,14,,77.8,19.14
105,°­¸ª,2019-04-23,19.1,,62.1,18.56
105,°­¸ª,2019-04-24,18.1,5.5,78.9,17.26
105,°­¸ª,2019-04-25,10.8,7,76.1,6.2
105,°­¸ª,2019-04-26,7.8,36.5,91.5,3.36
105,°­¸ª,2019-04-27,11.6,,54.9,27.53
105,°­¸ª,2019-04-28,14.1,,49.5,8.84
105,°­¸ª,2019-04-29,12.7,.5,69.6,10.96
105,°­¸ª,2019-04-30,13,,77.3,21.76
105,°­¸ª,2019-05-01,16.5,,61.9,26.08
105,°­¸ª,2019-05-02,19.3,,41.4,28.54
105,°­¸ª,2019-05-03,16.9,,55,27.91
105,°­¸ª,2019-05-04,17.3,,67.6,25.41
105,°­¸ª,2019-05-05,22.3,,30.1,23.63
105,°­¸ª,2019-05-06,12.2,2,45.3,23.79
105,°­¸ª,2019-05-07,17.8,,24.1,29.93
105,°­¸ª,2019-05-08,20.7,,24.3,26.92
105,°­¸ª,2019-05-09,22.3,,23.8,26.27
105,°­¸ª,2019-05-10,21.3,,31.5,27.59
105,°­¸ª,2019-05-11,19.8,,44.5,25.57
105,°­¸ª,2019-05-12,14.4,,75.3,4.04
105,°­¸ª,2019-05-13,16.2,,75.6,15.1
105,°­¸ª,2019-05-14,18.9,,69.5,25.78
105,°­¸ª,2019-05-15,18.8,,66.4,25.63
105,°­¸ª,2019-05-16,20.7,,62.1,27.43
105,°­¸ª,2019-05-17,24.3,,44.9,20.37
105,°­¸ª,2019-05-18,22,0,52,13.47
105,°­¸ª,2019-05-19,19.8,2,76.1,19.37
105,°­¸ª,2019-05-20,20.1,,44.5,16.62
105,°­¸ª,2019-05-21,20.1,,30.6,29.06
105,°­¸ª,2019-05-22,23.3,,24.4,29.79
105,°­¸ª,2019-05-23,26.1,,24.6,30.57
105,°­¸ª,2019-05-24,29,,26.4,29.79
105,°­¸ª,2019-05-25,29.6,,27.4,23.98
105,°­¸ª,2019-05-26,28.4,,28.6,29.35
105,°­¸ª,2019-05-27,22.4,.5,56.4,10.6
105,°­¸ª,2019-05-28,21.2,,30.3,26
105,°­¸ª,2019-05-29,22.7,,25.5,30.66
105,°­¸ª,2019-05-30,24.3,,27.1,19.07
105,°­¸ª,2019-05-31,21.8,,36.9,24.19
105,°­¸ª,2019-06-01,23.6,,31.6,25.81
105,°­¸ª,2019-06-02,23.2,,35.8,30.49
105,°­¸ª,2019-06-03,26.2,,37.1,27.42
105,°­¸ª,2019-06-04,28.8,,32.3,26.98
105,°­¸ª,2019-06-05,20.8,,70.6,26.66
105,°­¸ª,2019-06-06,18.6,10.5,86.8,9.39
105,°­¸ª,2019-06-07,17,69,96,2.43
105,°­¸ª,2019-06-08,18.3,,79.1,25.2
105,°­¸ª,2019-06-09,17.6,2,80.6,17.17
105,°­¸ª,2019-06-10,16.2,3.5,85.8,12.37
105,°­¸ª,2019-06-11,15.9,1.5,81.4,7.19
105,°­¸ª,2019-06-12,17.6,,73.3,30.84
105,°­¸ª,2019-06-13,22.9,,60,30.27
105,°­¸ª,2019-06-14,21.7,4.5,63.3,13.62
105,°­¸ª,2019-06-15,18.3,20.5,82.9,17.59
105,°­¸ª,2019-06-16,17.6,4,82.6,12.6
105,°­¸ª,2019-06-17,20.8,,74.1,27.94
105,°­¸ª,2019-06-18,22.8,7.5,61.4,12.03
105,°­¸ª,2019-06-19,24.8,1.5,61,23.95
105,°­¸ª,2019-06-20,26.8,,52,28.89
105,°­¸ª,2019-06-21,20.5,0,76.1,11.42
105,°­¸ª,2019-06-22,19.9,,66.4,31.01
105,°­¸ª,2019-06-23,20.1,,71.1,29.41
105,°­¸ª,2019-06-24,22.2,.2,67,30.62
105,°­¸ª,2019-06-25,23.9,,70.1,29.16
105,°­¸ª,2019-06-26,23.4,1.5,75,14.23
105,°­¸ª,2019-06-27,23.4,2.5,82.5,26.04
105,°­¸ª,2019-06-28,21.6,,83.4,12.9
105,°­¸ª,2019-06-29,22.7,3.5,84.9,14.76
105,°­¸ª,2019-06-30,26.1,,64.1,20.28
105,°­¸ª,2019-07-01,26.6,,55,19.53
105,°­¸ª,2019-07-02,25.4,,51.4,29.31
