시도별,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
시도별,엽채류:면적 (ha),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시금치:면적 (ha),생산량 (톤),노지시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),상추:면적 (ha),생산량 (톤),노지상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),엽채류:면적 (ha),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시금치:면적 (ha),생산량 (톤),노지시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),상추:면적 (ha),생산량 (톤),노지상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),엽채류:면적 (ha),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시금치:면적 (ha),생산량 (톤),노지시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),상추:면적 (ha),생산량 (톤),노지상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
세종특별자치시,78,4491,52,3988,38,10184,3909,1,4055,44,1,4053,44,0,0,0,37,10362,3865,0,0,0,14,568,79,12,201,0,0,0,12,1700,201,13,270,0,0,0,13,2075,270,1,2738,32,100,4212,52,3181,38,8133,3112,2,4035,95,2,4045,95,0,0,0,36,8401,3017,0,0,0,13,518,69,7,115,0,1373,3,7,1693,112,35,733,0,1170,3,35,2075,730,6,2832,183,66,5382,62,5326,62,8530,5326,12,4051,487,12,4047,487,0,0,0,50,9598,4839,0,0,0,0,518,0,1,21,0,1529,7,1,1694,14,2,22,1,1283,16,0,2075,6,0,2834,13
경기도,4323,205665,2067,154900,1430,9070,129654,215,4704,10103,215,4704,10103,0,0,0,1215,9842,119551,0,0,0,637,3963,25246,1389,24196,126,1929,2425,1264,1723,21771,794,23336,173,2030,3513,621,3192,19823,73,4612,3376,4704,212951,2360,159998,1611,8088,130309,393,4661,18335,393,4661,18335,0,0,0,1211,9211,111503,7,6634,471,749,3963,29689,1359,23408,69,1947,1347,1290,1710,22061,897,25535,246,2030,4987,652,3153,20548,87,4612,4010,4803,200246,2248,150444,1473,8141,119944,288,4663,13434,288,4663,13434,0,0,0,1185,8986,106510,0,0,0,775,3935,30500,1741,28796,108,1962,2127,1632,1634,26669,737,17424,243,2001,4868,494,2544,12556,78,4612,3582
강원도,8228,439149,6491,367755,6475,5671,367215,5286,4788,253104,689,5002,34473,4597,4756,218631,1189,9600,114111,0,0,0,16,3368,540,103,1604,44,1577,701,58,1550,903,133,1792,106,1046,1109,27,2496,683,1501,4530,67998,8329,446263,6835,384800,6783,5647,383070,5263,4537,238785,840,4958,41637,4423,4457,197148,1520,9492,144285,0,0,0,52,3329,1730,47,712,6,1750,107,41,1485,605,162,2157,129,1035,1339,33,2514,818,1285,4561,58594,9348,470449,7567,394259,7541,5217,393382,6096,4579,279131,953,5167,49258,5143,4470,229873,1445,7906,114251,0,0,0,26,3343,877,81,1345,50,1773,891,30,1492,454,108,1610,75,1031,769,34,2486,841,1592,4600,73235
충청북도,2894,175894,2149,152795,2114,7171,151574,719,4555,32762,719,4555,32762,0,0,0,1394,8520,118812,0,0,0,35,3499,1221,239,3684,14,1392,200,225,1548,3484,263,9169,7,1340,87,256,3544,9082,243,4189,10197,3433,211418,2701,190786,2597,7215,187381,595,4550,27072,595,4550,27072,0,0,0,2002,8007,160309,0,0,0,103,3290,3405,315,4507,22,1414,313,293,1432,4194,214,7497,6,1317,73,208,3561,7424,203,4240,8628,3686,222392,3075,202280,2989,6672,199465,686,4491,30787,686,4491,30787,0,0,0,2304,7321,168678,0,0,0,86,3286,2815,143,2247,12,1414,174,130,1592,2073,238,8338,10,1333,130,229,3591,8208,230,4151,9527
충청남도,2774,146611,1342,116590,1109,9453,104831,190,6492,12318,190,6492,12318,0,0,0,919,10064,92513,0,0,0,233,5054,11759,434,7129,34,1324,446,400,1670,6683,649,13323,71,1674,1191,578,2100,12132,349,2738,9569,3194,178271,1777,147063,1504,8844,133046,230,6533,15013,230,6533,15013,0,0,0,1275,9261,118033,0,0,0,273,5141,14017,148,2540,16,1463,238,132,1749,2302,937,19272,69,1692,1162,869,2085,18110,332,2832,9396,3170,168950,1758,137068,1472,8298,122170,261,6549,17111,261,6549,17111,0,0,0,1211,8676,105059,0,0,0,285,5222,14898,102,1620,51,1429,724,52,1736,896,857,17407,86,1595,1374,770,2081,16033,454,2834,12855
전라북도,2644,161097,1504,127090,1411,8633,121799,325,5325,17311,269,5833,15677,56,2900,1634,1086,9624,104488,0,0,0,93,5660,5291,188,1614,60,997,601,128,792,1013,864,27659,35,2575,912,828,3230,26747,88,5357,4734,3240,227721,2255,198191,2101,9019,189497,575,5441,31304,546,5560,30360,29,3217,944,1526,10368,158193,0,0,0,154,5660,8694,152,1393,41,1070,438,111,862,955,767,24558,18,2550,453,749,3217,24105,67,5361,3579,3411,206023,2085,162548,1834,8090,148359,538,5164,27769,449,5552,24901,89,3214,2868,1296,9304,120590,0,0,0,251,5657,14189,72,736,41,1148,466,32,847,270,1116,35374,53,2398,1271,1063,3207,34103,137,5359,7365
전라남도,10017,712371,7339,583811,7163,7997,572835,1190,6638,79004,1190,6638,79004,0,0,0,2666,10130,270034,3307,6767,223797,176,6239,10976,639,8038,578,1230,7112,61,1526,926,65,1624,30,2727,826,34,2314,798,1974,6023,118898,11888,862632,9000,740439,8766,8280,725841,1251,6227,77883,1251,6227,77883,0,0,0,3349,11095,371543,4167,6634,276415,234,6239,14598,510,6512,419,1222,5123,91,1524,1389,73,2037,39,3110,1214,34,2394,823,2304,4933,113644,11285,789114,8201,648204,7712,8010,617727,1250,5839,72993,1250,5839,72993,0,0,0,3226,9933,320451,3236,6931,224283,489,6234,30477,325,4201,247,1223,3023,78,1520,1178,192,4958,45,3141,1420,147,2410,3538,2567,5132,131751
경상북도,4242,260292,3247,233688,3096,7335,227072,1436,5028,72188,1109,5274,58494,327,4193,13694,1660,9329,154884,0,0,0,151,4392,6616,360,5022,176,1241,2180,184,1545,2842,258,4710,108,1610,1740,150,1977,2970,377,4471,16872,5020,297721,4172,277456,3969,6763,268380,2022,4953,100179,1423,5385,76624,600,3929,23555,1946,8643,168201,0,0,0,203,4468,9076,323,4556,133,1214,1611,191,1544,2945,282,4854,172,1554,2673,110,1989,2181,243,4466,10855,4425,229021,3388,202666,3255,6043,196706,1543,4698,72474,1231,4912,60477,312,3850,11997,1712,7256,124232,0,0,0,133,4468,5960,381,5329,159,1211,1930,222,1531,3399,241,4508,81,1656,1348,160,1976,3160,414,3987,16518
경상남도,2741,82640,764,58397,738,7762,57246,271,4729,12799,271,4729,12799,0,0,0,467,9520,44447,0,0,0,27,4320,1151,1636,15873,1547,929,14368,90,1681,1505,226,5489,63,1861,1177,162,2657,4312,115,2506,2881,2654,95717,871,74447,849,8656,73476,263,4715,12378,259,4714,12203,4,4740,175,586,10422,61098,0,0,0,22,4320,971,1554,15574,1463,960,14044,91,1679,1530,158,3917,49,2072,1022,109,2656,2895,70,2544,1779,1658,66968,696,53917,640,8050,51498,163,4706,7653,155,4704,7273,8,4741,380,477,9190,43845,0,0,0,56,4320,2419,736,7454,688,967,6650,48,1674,804,142,3425,56,2082,1166,86,2641,2259,85,2544,2172
제주도,2340,98000,253,12879,241,5170,12456,190,4737,8989,190,4737,8989,0,0,0,0,10130,14,51,6767,3453,12,3395,423,36,457,32,1201,387,4,1664,70,20,467,8,1493,120,12,2915,347,2031,4146,84197,2544,105317,242,12401,242,5129,12401,192,4737,9091,192,4737,9091,0,0,0,0,0,0,50,6634,3310,0,0,0,62,740,62,1201,740,0,0,0,10,259,2,1493,28,8,2905,231,2231,4120,91917,3229,134062,168,8263,142,5202,7391,100,4677,4656,100,4677,4656,0,0,0,4,9933,434,38,6029,2301,26,3395,872,35,458,28,1201,336,7,1664,122,9,216,4,1493,58,5,2906,158,3017,4148,125125
